iter	Passed	Remaining
826	7522	1573
827	7536	1565
828	7546	1556
829	7557	1547
830	7568	1539
831	7579	1530
832	7598	1523
833	7611	1514
834	7621	1506
835	7630	1496
836	7639	1487
837	7647	1478
838	7656	1469
839	7665	1460
840	7674	1450
841	7683	1441
842	7693	1432
843	7701	1423
844	7709	1414
845	7718	1405
846	7727	1395
847	7736	1386
848	7745	1377
849	7754	1368
850	7763	1359
851	7771	1350
852	7780	1340
853	7790	1331
854	7798	1322
855	7807	1313
856	7815	1304
857	7825	1295
858	7833	1285
859	7842	1276
860	7851	1267
861	7861	1258
862	7871	1249
863	7880	1240
864	7888	1231
865	7897	1221
866	7906	1212
867	7915	1203
868	7924	1194
869	7932	1185
870	7941	1176
871	7950	1167
872	7959	1157
873	7968	1148
874	7978	1139
875	7987	1130
876	7996	1121
877	8005	1112
878	8014	1103
879	8022	1094
880	8031	1084
881	8040	1075
882	8048	1066
883	8058	1057
884	8067	1048
885	8076	1039
886	8085	1030
887	8094	1020
888	8103	1011
889	8111	1002
890	8120	993
891	8128	984
892	8137	975
893	8146	965
894	8154	956
895	8163	947
896	8172	938
897	8181	929
898	8190	920
899	8199	911
900	8208	901
901	8216	892
902	8225	883
903	8235	874
904	8244	865
905	8253	856
906	8263	847
907	8275	838
908	8286	829
909	8297	820
910	8308	811
911	8318	802
912	8329	793
913	8339	784
914	8350	775
915	8359	766
916	8368	757
917	8377	748
918	8386	739
919	8394	729
920	8403	720
921	8412	711
922	8420	702
923	8429	693
924	8438	684
925	8447	675
926	8456	665
927	8465	656
928	8474	647
929	8483	638
930	8491	629
931	8500	620
932	8508	611
933	8518	601
934	8527	592
935	8535	583
936	8544	574
937	8552	565
938	8561	556
939	8570	547
940	8578	537
941	8588	528
942	8597	519
943	8605	510
944	8615	501
945	8625	492
946	8634	483
947	8643	474
948	8653	465
949	8662	455
950	8671	446
951	8680	437
952	8689	428
953	8697	419
954	8706	410
955	8716	401
956	8725	392
957	8734	382
958	8744	373
959	8753	364
960	8762	355
961	8771	346
962	8779	337
963	8788	328
964	8797	319
965	8805	309
966	8814	300
967	8823	291
968	8832	282
969	8840	273
970	8850	264
971	8858	255
972	8868	246
973	8876	236
974	8885	227
975	8894	218
976	8902	209
977	8911	200
978	8919	191
979	8929	182
980	8937	173
981	8946	163
982	8956	154
983	8965	145
984	8974	136
985	8983	127
986	8992	118
987	9001	109
988	9009	100
989	9017	91
990	9030	82
991	9042	72
992	9054	63
993	9066	54
994	9077	45
995	9086	36
996	9095	27
997	9103	18
998	9112	9
999	9122	0
